,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,6.9460397,-1.2360626,-0.5317105,2.212724,4.972036,-1.6739056,-0.57538944,-2.494847,9.434814,-1.0775598,0.3165655,4.5074143,4.8558593,4.6124268,1.7589651,5.0812783,-1.0875248,-4.5619183,10.172923,-1.7606418,-0.31528485,2.914406,0.63574606,-0.51046294,-0.9922504,4.343858,-3.9333754,-0.17875916,1.9682002,-1.7573757,-0.32109752,-1.8346568,-1.6030638,-3.0130885,-0.32534358,1.7086782,-0.7495659,9.43232,-1.924992,3.8037128,-0.21389379,-0.89965004,-1.8518286,-0.057822473,-1.694907,5.969987,-4.5654283,13.937181,1.1551094,5.408691,-0.7035623,5.583397,9.597927,-0.72625655,-0.105499014,-0.3582298,-1.5262165,-1.0725935,3.1011257,-1.152916,-0.987335,-0.4584949,-0.32163778,5.187851
1,5.5381675,-1.0615075,-0.4589466,0.92247486,4.5922995,-1.776324,-0.38049018,-2.2286353,8.643738,-0.73681474,-0.1644193,4.841695,4.422184,6.7640715,0.87853724,6.1192,-0.8534683,-1.6406608,5.1155806,-0.99262327,-0.633332,1.2376405,0.5689489,-0.5689793,-0.048432928,3.2378771,-2.0115547,-0.066708975,2.3219872,-1.3502328,2.52047,-0.7496213,-0.7202442,-3.1720917,0.08984794,6.514779,3.011401,8.835869,-1.9842062,4.3549004,0.062864125,-0.09638811,-1.3479367,0.2693672,-1.4497927,3.0760052,-3.8323016,12.112431,0.163598,5.3047924,-0.7447185,5.040478,7.948452,-0.7079448,-0.26817283,-0.3383714,-1.4169995,-1.184896,3.4875443,-0.8580695,-0.76549375,-0.23537588,-0.7072415,5.841256
2,6.9463825,-0.85053706,-0.5444527,-0.01978053,4.01116,-1.5518578,-0.5877131,-1.9362823,6.3197036,-0.749953,-0.18435057,3.83921,4.226179,5.236362,0.43854433,4.605957,-1.4360027,-2.7460735,8.6144085,-1.5933685,-0.70691335,1.7404541,0.009161458,-1.1744474,-0.10349253,5.478687,-3.1230593,-0.2286338,1.5586795,-1.8402678,1.8889526,-0.81829274,-0.05389414,-1.482186,3.4969468,3.139229,0.5541209,6.952785,-2.2768297,4.909079,1.3139842,-1.8450885,-0.44974616,1.4277542,-0.9034002,8.292425,-3.751986,11.350736,1.2084414,6.5398254,-0.34033528,3.704488,9.600498,-0.7512369,-0.068105675,-0.101464845,-1.1219834,-0.6511867,2.8215652,-1.0200334,-0.90986115,-0.13449417,-0.4338715,6.0389056
3,5.3639655,-0.807453,-0.5094797,0.71125543,4.076495,-1.6387668,-0.22394083,-1.7277848,6.6279593,-0.9118262,-0.4346734,4.798527,3.549855,6.2886524,0.30106387,4.5604224,-0.82563335,-4.355384,7.694799,-1.639837,-0.37517026,2.6826015,-0.64332265,0.6728668,-0.22690709,4.848204,-3.4333189,1.7366624,2.7125726,-2.2046933,1.3447138,-2.4657135,-0.09679116,-2.4876463,2.247065,3.9898505,1.1904082,9.081302,-1.8345085,4.0125017,0.6158394,-0.86035645,-1.013875,1.7497302,-1.1388329,4.1229577,-3.2834566,9.763083,-0.18351685,5.039763,0.04875542,6.2933617,7.931379,-0.9180001,-0.2003959,-0.328279,-1.0790257,-0.6537446,4.5463037,-1.066005,-0.7276193,-0.039854012,-1.0134082,5.664921
4,5.5421553,-0.8400958,-0.46436816,0.75401115,4.4945807,-1.7649553,-0.39547625,-2.000292,7.0991173,-0.7934819,-0.233165,5.0341744,4.1519027,6.3368115,0.89966506,5.32789,-0.99750537,-4.4398494,8.725404,-1.883271,-0.467457,2.9904563,-0.55376333,0.17036541,-0.23835777,5.4443913,-3.6489327,1.5391766,2.8331575,-2.3973649,1.7538532,-2.5084674,-0.10686026,-2.507631,2.203775,4.5277786,1.5163578,9.111429,-1.9115599,4.257168,0.6372443,-0.77929705,-1.0318936,1.763599,-1.2389936,4.269899,-3.3474743,9.978073,-0.17210363,3.034184,-0.19607489,3.8665879,4.329757,-0.49387822,0.07563424,-0.28489417,-0.6720611,-0.6031474,2.169787,-0.8618194,-0.058111202,-0.05936771,-0.43390292,2.1314046
5,5.421976,-0.83624446,-0.4424345,2.1275208,3.717567,-1.4810301,-0.24736376,-1.947168,5.955089,-0.6535846,-0.32528007,4.270413,3.7260704,5.626467,1.1740718,3.9268792,-1.0777582,-1.8647858,5.48472,-1.4535584,-0.25040764,1.3904227,0.66551185,-0.07808284,-0.27400747,4.1138453,-2.0039902,-0.023563743,1.6166818,-1.7625544,2.3490396,-1.119982,-0.80698663,-2.31886,0.19486287,2.8208551,0.41105437,7.380624,-0.9992045,5.119911,0.88109654,-0.27175978,-1.1526568,-0.020346005,-1.074239,3.1558785,-3.2982326,9.555949,-0.26335764,5.0700936,-0.46039334,5.169122,7.776882,-1.009362,-0.4529271,-0.14444102,-1.2161251,-0.6745163,3.1379623,-1.273803,-0.68630725,-0.28660527,-0.91507226,4.911256
6,4.211806,-0.5623567,-0.41774616,0.85036373,2.6806884,-1.030714,-0.25426483,-1.644549,3.823226,-0.40178725,-0.4513735,2.6695027,3.3598924,5.1371117,1.1468356,3.217289,-1.4377799,-3.2272933,10.028339,-2.8180919,-0.6262805,2.4733355,1.8997127,-0.30014586,-0.15479743,8.386851,-3.6061428,0.48152208,2.4044755,-2.7546978,3.723054,-1.8512223,-0.81055796,-2.8551445,-0.004611744,3.7229815,1.3715167,9.142421,-1.3456322,5.3237076,0.47370377,-0.09722793,-1.5069993,-0.2922634,-1.1346089,2.1939688,-3.9433303,11.471107,-0.8770832,3.9295287,-0.52338505,6.746634,7.5853353,-1.3736355,-0.35240486,-0.18017697,-1.0859575,-1.0858611,3.2795773,-1.6344831,-0.82802993,-0.005368311,-1.3849399,6.6362276
7,4.8071194,-1.023423,-0.6451476,1.8848847,4.3030124,-1.5441916,-0.20981225,-2.1773338,6.504633,-0.72664845,-0.6897886,5.3035855,3.6620142,6.304479,0.7724046,4.4615583,-0.9826412,-3.3768716,7.324487,-0.84683806,-0.2606218,0.35301834,-0.020853782,-0.57230234,-0.23560381,4.7579007,-2.7389655,0.65432096,3.57529,-1.3670676,1.2015178,-1.4898151,-0.9173878,-2.8133628,0.7143341,4.3231697,1.2317182,9.292362,-1.4225754,5.287304,0.6577791,-0.32921636,-1.5074533,-0.12326725,-1.2147417,2.1857917,-3.984623,12.174231,-0.91334677,2.4533024,-0.35300374,5.7931685,5.925009,-1.2657446,-0.2247577,-0.046535753,-0.79400724,-0.94611543,2.9099422,-1.451601,-0.6179085,-0.026117172,-1.3771565,5.099093
8,5.0836644,-0.9575072,-0.78890306,0.5735677,5.9584312,-1.8331563,-0.35004574,-1.9417098,8.208982,-1.0113746,0.35164508,4.628075,2.5914268,5.7180524,-0.13284922,4.5133247,-0.6541516,-2.2512677,4.259288,-0.82911825,-0.3706715,1.0188966,0.39187172,-0.2649515,-0.373521,3.462756,-2.068954,-0.25362834,1.3472072,-1.0761352,1.3680286,-0.9517753,-0.9011214,-2.447212,-0.05386763,5.4429135,-0.45451155,4.0861993,-1.1159621,3.9173446,0.37231842,-0.95325834,-0.37330076,-0.2566966,-1.6584988,4.0417547,-2.661414,9.778577,-0.03344392,5.7271843,-0.48766205,5.2931566,8.085271,-0.45011207,-0.08820736,-0.26732424,-1.3585073,-0.7615956,4.4612565,-1.451418,-0.48844397,-0.62397623,-0.4732004,4.373001
9,5.7685533,-0.84204936,-0.79662305,1.3991795,5.619368,-1.6892729,-0.48033202,-1.7570039,7.9390354,-0.7967751,0.30490887,4.594309,3.2856054,6.108134,0.44736797,4.5870943,-1.3524941,-3.5832465,7.439393,-1.8540363,-0.6494835,1.8895645,0.9032188,-0.32949972,-0.44818628,6.5407333,-3.55829,-0.254041,2.041721,-2.1164575,2.2986019,-1.6101217,-0.36338544,-2.5414433,0.2647784,3.9774804,-0.23124829,4.4386,-1.3271197,4.760284,0.49473318,-0.60155356,-0.33403766,-0.41463894,-1.5978693,4.9606357,-2.7770517,9.193923,-0.025609847,6.2519317,-0.8575319,4.000549,8.788759,-0.6218875,-0.44110638,-0.42241675,-1.280393,-0.82061654,3.4217901,-0.877075,-0.669702,-0.79540664,-0.674542,4.104687
