,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.06547944,-0.05291922,0.07469189,-0.05549041,-0.035617772,0.29108584,-0.055506956,-0.027657427,0.22987229,-0.061042104,-0.043148115,-0.02493631,-0.059717216,0.23613587,0.16842057,-0.12039041,0.16433296,-0.079802625,-0.13706417,-0.11988388,-0.05543699,0.36993504,-0.09449393,-0.15313086,0.058142975,-0.0908887,-0.058837663,-0.046176903,-0.006680533,0.44875103,-0.020030452,-0.079303816,0.16023289,0.097817466,-0.04277839,0.20908774,-0.054018497,-0.04868576,-0.10786801,-0.055861827,-0.09165478,0.5798686,0.10350813,0.43361968,-0.022116043,0.3441975,-0.029420618,-0.054303985,0.05978344,-0.03925753,-0.06325777,0.14099017,-0.033679705,0.26104817,-0.06430772,-0.04283883,0.14602658,0.30012158,-0.026106356,-0.0409526,0.41097233,0.13971595,0.38561723,-0.046017073
1,0.31208062,0.8482388,-0.060309146,-0.1408304,-0.06913467,0.3044974,-0.015635034,0.07157204,0.1398903,0.21038784,-0.12732758,-0.07140587,-0.023336781,0.675073,-0.0050506685,-0.105022356,0.48547724,-0.05934412,-0.15861389,-0.1364939,-0.06301681,0.5245657,-0.07416789,-0.15341929,0.07780705,-0.0673689,-0.08365633,-0.11592542,-0.04282681,0.14218815,0.3269069,0.10714419,-0.0757298,-0.0045543932,-0.015083578,-0.00014303139,0.3707855,-0.021565648,-0.20636886,-0.004266481,-0.11633156,0.1713734,0.09181792,0.42945594,-0.07536662,0.08212297,0.31315318,-0.19938588,0.5307443,0.4353652,-0.16700867,0.67665267,-0.12080839,0.2519923,-0.007976141,-0.087474085,-0.038795937,-0.023576178,0.10065129,0.23362273,0.5324257,0.02552486,-0.0006027207,-0.09681324
2,0.29519472,-0.07072855,0.17281514,-0.092030086,-0.026685089,0.36891305,-0.053004146,-0.08066432,0.34604463,-0.059256177,-0.051773608,-0.051194094,-0.076244704,0.14802857,0.15465724,-0.18704209,0.21028504,-0.063160196,-0.1375759,-0.14172037,-0.072054625,0.24230206,-0.091696225,-0.15760957,0.09895861,-0.0961657,-0.054526713,0.07474289,0.17980261,0.54784167,0.06371288,-0.08318507,0.17897369,-0.021205105,-0.005575008,0.34252137,-0.057026118,-0.0629472,-0.09146717,-0.05934167,-0.07773516,0.70331794,0.15669782,0.55926955,-0.041495547,0.2774247,-0.036958765,-0.041470136,-0.0067806267,-0.04486002,-0.044178423,0.013892256,-0.018211177,0.32022718,-0.058761436,-0.04490069,-0.0023622143,0.41647145,-0.030115647,-0.0328569,0.26314843,0.013388006,0.21102259,-0.060583334
3,0.18540302,-0.031051723,0.018390609,-0.061391946,-0.02099383,0.31009743,-0.07142071,-0.0546489,0.2721247,-0.0393823,-0.047496755,-0.02492931,-0.056685317,0.14977422,0.14028676,-0.1437468,0.19306993,-0.05192758,-0.09131484,-0.101095706,-0.024239523,0.18767628,-0.09118915,-0.10337849,-0.006249518,-0.06724306,-0.045676358,-0.01715539,-0.013218929,0.37298644,0.036083892,-0.033427734,0.12435299,-0.015524267,-0.0093622655,0.15117365,-0.053356048,-0.031833265,-0.10011052,-0.02551167,-0.07141257,0.54014754,0.13536638,0.4295957,-0.032573752,0.20894647,-0.011504243,-0.03824031,0.055453103,-0.04317627,-0.06075548,0.11713483,-0.018050306,0.13776074,-0.04523411,-0.046082404,0.007459277,0.35386473,-0.009540872,-0.03596885,0.2811241,-0.0009000235,0.2598145,-0.07332919
4,0.10281276,0.20837983,-0.082237326,-0.036176946,-0.08276947,0.027741805,-0.044346895,-0.011917025,0.27247795,-0.034239467,-0.08267429,-0.009866606,-0.053956542,0.4803094,0.15774159,-0.02999921,0.23704936,-0.061573923,-0.11357083,-0.03795177,-0.08378346,0.70950663,-0.07606719,-0.13981582,-0.03977324,-0.095986076,-0.07185377,-0.14637056,-0.054162137,0.07020834,-0.04801022,-0.0130873835,-0.008006585,0.27809322,-0.027199114,-0.008768454,0.2317863,-0.018641617,-0.14507763,-0.02378317,-0.05330087,0.28402832,0.12804174,0.26920354,-0.0053714914,0.28308585,-0.01052605,-0.11428098,0.24666107,0.07880153,-0.14455862,0.46726114,-0.0870539,0.3306567,0.03221467,-0.025739113,0.058595058,-0.046214625,-0.0124347815,0.22434369,0.35109758,0.25212485,0.6020823,-0.12771702
5,-0.012807691,0.030765785,-0.023277787,-0.12077452,-0.07559605,0.247446,-0.08325833,-0.044547126,0.024649886,0.1925088,-0.06311793,0.09067827,-0.0007930908,0.377934,0.1460399,-0.1021555,0.038747128,-0.036903344,-0.06637655,-0.06856451,0.03529799,0.13915122,-0.08988018,-0.123276964,-0.075818464,-0.02262192,-0.035018034,-0.06390784,-0.08755477,0.1471626,0.12122104,0.166819,-0.009187228,-0.016141005,-0.06520328,-0.026412742,0.027949192,-0.016209448,-0.13915083,-0.009137857,-0.08135029,0.49379903,-0.04796229,0.27112302,-0.028876893,0.041962236,0.114359856,-0.07772348,0.40112978,-0.0041256943,-0.042548362,0.3093805,-0.044011697,-0.022785304,0.022428846,-0.013018753,-0.0035632898,0.44878578,-0.0034398164,0.09175369,0.47996902,-0.021750355,-0.04232531,-0.03740223
6,0.0577404,0.08206529,-0.066354446,-0.06822883,-0.1016925,0.21065794,-0.040892053,-0.012280265,0.20791337,-0.01149045,-0.10552449,-0.018603452,-0.07098917,0.4599446,0.40353158,-0.08378206,0.30100572,-0.09112126,-0.15028355,-0.036331363,-0.07806109,0.5624934,-0.06395636,-0.16623692,0.007003618,-0.0997481,-0.06413095,-0.1307893,-0.05184292,0.05493982,0.0852704,-0.012467803,-0.0032403043,0.15307176,-0.06349902,0.17632067,0.13541043,-0.043290716,-0.18843597,-0.008076116,-0.094902694,0.27639404,0.018131772,0.3600866,-0.03433066,0.29638818,-0.0024854713,-0.12953454,0.19417857,0.0070511242,-0.111816026,0.32721108,-0.05759716,0.14357159,-0.031372063,-0.030318113,0.063006856,-0.0016777939,0.0016731881,0.10190986,0.26757875,0.21069226,0.4685926,-0.116561644
7,0.08382785,0.579764,-0.041960925,-0.13815221,-0.09732793,0.30279228,-0.04399927,0.014515459,0.034496773,0.121922135,-0.09494551,-0.077268064,0.01031976,0.61009157,0.08982713,-0.08381833,0.3873951,-0.0026594244,-0.119004935,-0.14866467,-0.031606372,0.44644722,-0.12329398,-0.1435964,-0.010407268,-0.007876897,-0.04782414,-0.08422923,-0.039882936,0.15796936,0.2871487,0.13202798,-0.043627642,0.092611894,-0.0109454915,0.03606397,0.41455063,-0.0022494046,-0.19970775,-0.03402985,-0.09291033,0.13275169,0.19691975,0.45566815,-0.063858904,0.0122862905,0.34220985,-0.16893233,0.53773355,0.24619831,-0.07041803,0.4538428,-0.084497,0.06560735,-0.042706225,-0.07878346,-0.04234944,0.11248279,0.042117458,0.27238697,0.5229232,-0.0055463454,0.012069249,-0.12132993
8,0.057914156,-0.10385813,0.06784995,-0.038723595,-0.03500889,0.34773985,-0.071624756,-0.07379592,0.3738855,-0.08702163,-0.061629884,-0.03195553,-0.0706768,0.09238614,0.26776847,-0.1369065,0.06436034,-0.10086907,-0.11314753,-0.12234212,-0.104069844,0.45331225,-0.0871196,-0.15044038,0.050827287,-0.10951064,-0.050082617,-0.03183849,0.06609845,0.4854918,-0.01654065,-0.11486255,0.33159417,-0.009840993,-0.03380915,0.32405254,-0.09625057,-0.02834336,-0.097852804,-0.06462137,-0.09549932,0.664825,0.10110194,0.5248712,-0.032980956,0.39010704,-0.06894963,0.011897576,0.012428777,-0.06927681,-0.04985951,0.12358906,-0.0011108177,0.24418738,-0.042603966,-0.024568561,-0.008592372,0.3650356,-0.04604787,-0.05426489,0.2439818,0.09626479,0.40287703,-0.01758391
9,-0.027227717,-0.027917158,-0.017827084,-0.08610956,-0.07210539,0.30886716,-0.07950297,-0.054868203,0.11510491,-0.027138868,-0.051793154,-0.024021903,0.1094881,0.42972168,0.27792352,-0.12679067,0.00027382933,-0.0489401,-0.14101438,-0.11089784,0.031569608,0.21474567,-0.13488983,-0.1803402,-0.08796879,-0.06002616,-0.084561445,-0.058267675,-0.07081478,0.10612496,0.24283066,0.1227255,0.04792054,-0.023857301,-0.08756788,-0.01106598,-0.0047704503,-0.02334515,-0.104954205,-0.03824082,-0.06480317,0.42705193,-0.018359805,0.2639201,-0.052861642,-0.0058481144,-0.01992824,-0.046176355,0.35155845,-0.046601776,-0.010961687,0.33840182,-0.040004067,0.056092322,-0.018409744,-0.037889715,-0.020327115,0.58979344,-0.035380837,0.044876777,0.71071875,-0.03148388,-0.04894114,-0.041981574
